Title,Genre,Release Year,Rating,Viewership,Region,Age Group,Subscription Type,Watch Time (min),Completion Rate (%)
Show 1,Sci-Fi,2013,9.4,815194,Africa,65+,Basic,129.5,0.27
Show 2,Action,2019,2.7,555901,Europe,65+,Standard,141.1,0.41
Show 3,Documentary,2017,4.4,773164,North America,18-24,Premium,96.1,0.75
Show 4,Sci-Fi,2005,9.4,8196,Australia,65+,Premium,163.2,0.3
Show 5,Thriller,2010,1.6,506072,Australia,25-34,Basic,151.4,0.34
Show 6,Documentary,2001,1.8,517191,Africa,45-54,Premium,147.8,0.77
Show 7,Documentary,2022,2.5,231009,South America,25-34,Standard,98.7,0.26
Show 8,Sci-Fi,2018,6.4,891997,North America,25-34,Basic,35.6,0.32
Show 9,Comedy,2018,2.4,867781,South America,18-24,Standard,103.8,0.12
Show 10,Thriller,2004,9.7,856271,Australia,18-24,Standard,164.8,0.75
Show 11,Sci-Fi,2018,5,440132,Australia,45-54,Premium,58.6,0.66
Show 12,Thriller,2001,5.5,537860,Asia,55-64,Premium,177.4,0.72
Show 13,Thriller,2009,3.2,511528,Asia,25-34,Standard,151.2,0.29
Show 14,Documentary,2001,5.2,426441,Asia,65+,Premium,136.5,0.72
Show 15,Action,2010,7,575141,Asia,45-54,Standard,131.6,0.64
Show 16,Thriller,2017,7.8,971894,Europe,25-34,Standard,118.1,0.43
Show 17,Romance,2023,7.8,692635,Asia,55-64,Basic,138.1,0.49
Show 18,Documentary,2014,6.2,863811,Europe,65+,Standard,93.3,0.61
Show 19,Comedy,2008,9.1,923609,Europe,25-34,Standard,156.8,0.54
Show 20,Action,2022,8.4,121074,Africa,35-44,Premium,134.5,0.68
Show 21,Romance,2018,7.8,458112,Europe,45-54,Basic,145.7,0.26
Show 22,Romance,2008,1.5,572497,Europe,18-24,Premium,148.9,0.59
Show 23,Comedy,2002,1.1,495391,Asia,25-34,Basic,43.8,0.51
Show 24,Action,2020,2.9,964991,Europe,65+,Premium,38.3,0.51
Show 25,Documentary,2008,7,416267,South America,65+,Standard,150.1,0.52
Show 26,Drama,2013,4.7,623532,Asia,45-54,Basic,68.9,0.89
Show 27,Action,2018,4.6,761355,North America,45-54,Basic,117.3,0.84
Show 28,Comedy,2006,9,258516,Asia,65+,Basic,96.6,0.67
Show 29,Romance,2015,9.1,737760,Europe,65+,Basic,33.3,0.74
Show 30,Documentary,2015,9.2,629588,South America,65+,Premium,36,0.14
Show 31,Action,2000,3.8,727321,Asia,25-34,Premium,154.1,0.77
Show 32,Drama,2003,7.2,458372,South America,65+,Basic,121.2,0.54
Show 33,Drama,2003,3.4,381826,North America,18-24,Basic,108.6,0.39
Show 34,Thriller,2006,2.7,62175,Australia,65+,Basic,171.7,0.23
Show 35,Thriller,2007,2.7,929353,North America,18-24,Premium,56,0.17
Show 36,Sci-Fi,2016,4.1,106551,Australia,25-34,Basic,68.7,0.14
Show 37,Comedy,2004,4.9,810408,Africa,45-54,Basic,143.5,0.25
Show 38,Action,2006,8.5,397761,Australia,18-24,Basic,146.3,0.13
Show 39,Action,2019,2.1,891226,Africa,25-34,Premium,90.7,0.76
Show 40,Sci-Fi,2019,7.6,776272,Asia,65+,Standard,172.6,0.32
Show 41,Romance,2003,5.8,515491,Africa,25-34,Standard,170.7,0.43
Show 42,Romance,2005,3.6,586154,South America,65+,Premium,31.9,0.84
Show 43,Sci-Fi,2006,5.4,122752,Africa,25-34,Standard,55.8,0.2
Show 44,Romance,2017,3.7,838510,South America,45-54,Basic,153,0.85
Show 45,Thriller,2004,6.4,258564,Australia,18-24,Basic,80.3,0.68
Show 46,Action,2019,4.9,298257,Australia,45-54,Premium,44.3,0.41
Show 47,Sci-Fi,2002,2.5,775880,Australia,35-44,Premium,147.7,0.21
Show 48,Action,2006,2,544689,Africa,65+,Standard,98.2,0.18
Show 49,Drama,2021,5.9,935388,Australia,18-24,Standard,103.9,0.4
Show 50,Thriller,2013,9.1,220432,Africa,45-54,Basic,58,0.23
Show 51,Documentary,2006,4.1,435779,Africa,18-24,Premium,129.1,0.34
Show 52,Thriller,2004,7.6,170486,Europe,35-44,Standard,112.7,0.15
Show 53,Sci-Fi,2021,6.9,676502,Europe,55-64,Standard,61,0.64
Show 54,Documentary,2004,9.4,775488,Africa,65+,Basic,81,0.23
Show 55,Drama,2022,8.4,338636,South America,65+,Basic,119.5,0.78
Show 56,Sci-Fi,2001,6.1,215536,Asia,25-34,Basic,168.7,0.3
Show 57,Comedy,2020,6.9,735617,North America,65+,Basic,168.1,0.82
Show 58,Action,2021,9.1,81693,Europe,65+,Standard,73.2,0.27
Show 59,Drama,2005,4.6,40135,Africa,45-54,Premium,140.3,0.75
Show 60,Action,2014,3.9,470448,North America,65+,Premium,146.3,0.4
Show 61,Romance,2020,1.1,819294,Europe,65+,Basic,151.3,0.62
Show 62,Comedy,2009,8.4,141262,Asia,35-44,Basic,115.6,0.13
Show 63,Comedy,2022,8.2,599487,South America,35-44,Standard,31.6,0.55
Show 64,Drama,2023,1.9,896798,Africa,18-24,Basic,144.3,0.23
Show 65,Comedy,2006,6.2,9331,Asia,18-24,Premium,46,0.54
Show 66,Documentary,2004,5.2,522400,Europe,65+,Basic,47.5,0.23
Show 67,Comedy,2000,2.1,188258,Africa,65+,Premium,120.8,0.49
Show 68,Action,2012,9.8,836080,North America,25-34,Basic,177.5,0.2
Show 69,Action,2020,2.9,295693,Australia,18-24,Basic,66.4,0.3
Show 70,Sci-Fi,2017,1.6,217854,South America,45-54,Premium,126.9,0.64
Show 71,Action,2012,6.4,555049,Europe,65+,Standard,75.5,0.98
Show 72,Sci-Fi,2020,7.6,794694,South America,45-54,Standard,164.8,0.5
Show 73,Action,2020,1.3,509840,Africa,65+,Basic,119,0.72
Show 74,Documentary,2017,6.9,973763,Australia,45-54,Basic,61.1,0.59
Show 75,Sci-Fi,2004,5.8,864004,Asia,55-64,Premium,69.3,0.55
Show 76,Thriller,2012,1.9,785080,South America,45-54,Premium,94.9,0.16
Show 77,Romance,2003,2.6,189544,North America,18-24,Basic,48.3,0.23
Show 78,Drama,2016,6.1,355002,Europe,65+,Premium,41.8,0.89
Show 79,Action,2002,3.7,89667,North America,18-24,Standard,132,0.47
Show 80,Comedy,2016,9.4,9677,South America,45-54,Standard,91.1,0.65
Show 81,Action,2010,8.4,209580,Australia,35-44,Premium,138.9,0.58
Show 82,Comedy,2020,9.9,135334,Asia,35-44,Premium,46.5,0.44
Show 83,Romance,2019,3.3,479081,Asia,35-44,Premium,121.5,0.45
Show 84,Romance,2022,9.7,500784,North America,65+,Standard,96.5,0.6
Show 85,Romance,2020,4.9,368581,Africa,25-34,Basic,38.7,0.23
Show 86,Comedy,2003,4.1,973121,Africa,55-64,Premium,111.7,0.45
Show 87,Action,2001,1.5,416811,Australia,45-54,Premium,42.4,0.5
Show 88,Romance,2019,1.5,485675,Asia,25-34,Premium,154.2,0.99
Show 89,Documentary,2015,7.2,589436,North America,35-44,Basic,124.8,0.42
Show 90,Sci-Fi,2017,5.1,838358,North America,45-54,Premium,113.5,0.68
Show 91,Comedy,2007,3,604559,North America,25-34,Premium,50,0.22
Show 92,Comedy,2002,6.5,563745,South America,18-24,Standard,73.1,0.16
Show 93,Action,2008,3.3,571819,Australia,35-44,Premium,103.9,0.88
Show 94,Comedy,2019,6.2,209335,Africa,25-34,Standard,125,0.76
Show 95,Comedy,2005,4.2,471516,Africa,65+,Basic,57.5,0.39
Show 96,Romance,2009,8.4,657315,South America,18-24,Premium,31.3,0.55
Show 97,Action,2020,8.4,199243,Europe,35-44,Premium,81.7,0.22
Show 98,Romance,2009,5.3,517445,South America,55-64,Standard,102.4,0.74
Show 99,Sci-Fi,2012,4.2,262231,Australia,35-44,Basic,57.7,0.16
Show 100,Sci-Fi,2016,4.3,778589,North America,65+,Basic,103.8,0.78
Show 101,Romance,2008,8.3,575059,South America,55-64,Standard,80.8,0.59
Show 102,Sci-Fi,2016,4,622423,North America,55-64,Basic,98.3,0.35
Show 103,Action,2023,2.9,595642,Australia,55-64,Basic,82.1,0.88
Show 104,Drama,2008,1.8,642031,Australia,45-54,Basic,124.3,0.99
Show 105,Romance,2008,5.2,773741,Asia,45-54,Basic,36.4,0.33
Show 106,Documentary,2000,5.3,959793,North America,55-64,Basic,55.6,0.83
Show 107,Documentary,2001,8.6,563180,Africa,18-24,Basic,94.9,0.78
Show 108,Comedy,2015,3,207268,South America,55-64,Basic,83.4,0.77
Show 109,Sci-Fi,2000,4.4,921094,Australia,25-34,Basic,88.7,0.96
Show 110,Documentary,2009,8.3,100057,North America,55-64,Premium,150.6,0.54
Show 111,Comedy,2017,8.4,43409,Europe,45-54,Standard,162.9,0.71
Show 112,Drama,2007,4.5,251889,Asia,45-54,Basic,67.3,0.84
Show 113,Action,2020,5.1,432686,Europe,25-34,Standard,155.5,0.53
Show 114,Action,2010,3.7,154457,Australia,25-34,Basic,98.8,0.53
Show 115,Action,2022,9.4,421512,Europe,35-44,Basic,71.1,0.39
